title_x,total,date,Month,value,quarter,year,newDate
Hatcher,36,2023-10-01,nov,11, QTR 4,2023,2023-11-01
Hatcher,36,2023-10-01,dec,8, QTR 4,2023,2023-12-01
Irving,13,2023-10-01,oct,0, QTR 4,2023,2023-10-01
Irving,13,2023-10-01,nov,6, QTR 4,2023,2023-11-01
Irving,13,2023-10-01,dec,7, QTR 4,2023,2023-12-01
Lakewest,22,2023-10-01,oct,8, QTR 4,2023,2023-10-01
Lakewest,22,2023-10-01,nov,9, QTR 4,2023,2023-11-01
Lakewest,22,2023-10-01,dec,5, QTR 4,2023,2023-12-01
Maple,34,2023-10-01,oct,12, QTR 4,2023,2023-10-01
Maple,34,2023-10-01,nov,11, QTR 4,2023,2023-11-01
Maple,34,2023-10-01,dec,11, QTR 4,2023,2023-12-01
Oakwest,27,2023-10-01,oct,7, QTR 4,2023,2023-10-01
Oakwest,27,2023-10-01,nov,8, QTR 4,2023,2023-11-01
Oakwest,27,2023-10-01,dec,12, QTR 4,2023,2023-12-01
Southeast,28,2023-10-01,oct,8, QTR 4,2023,2023-10-01
Southeast,28,2023-10-01,nov,10, QTR 4,2023,2023-11-01
Southeast,28,2023-10-01,dec,10, QTR 4,2023,2023-12-01
Total,252,2023-10-01,oct,77, QTR 4,2023,2023-10-01
Total,252,2023-10-01,nov,81, QTR 4,2023,2023-11-01
Total,252,2023-10-01,dec,94, QTR 4,2023,2023-12-01
